field_name,value_code,value_label,description 
record_type,observation,Observation,Actual measured values 
record_type,event,Event,Policies launches milestones 
record_type,impact_link,Impact Link,Modeled relationships 
record_type,target,Target,Policy goals 
pillar,access,Access,Account ownership 
pillar,usage,Usage,Digital payment adoption 
pillar,enabler,Enabler,Infrastructure and environment 
confidence,high,High,High confidence data 
confidence,medium,Medium,Medium confidence data 
confidence,low,Low,Low confidence data 
